algorithm,k,cluster,size,top_category,top_category_share,top_subcategory,top_subcategory_share,top_purposes,sample_titles
text_tfidf_svd_kmeans,12,0,61,경영,0.6393,디자인/상품화/사업화,0.2951,마케팅비:36.1%; 컨설팅:29.5%; 수출:26.2%; 사업화:16.4%,[경북] 구미 방산혁신클러스터 방산 헬프데스크-지역소재기업 경영ㆍ기술지원 모집 공고 | [광주] 2025년 지역기업 투자유치 역량강화를 위한 IR 참가기업 모집 공고 | [인천] 서구 2026년 청년기업 인증 신청 공고
text_tfidf_svd_kmeans,12,1,103,금융,0.466,융자,0.3883,시설개보수:21.4%; 이자보전:18.4%; 컨설팅:18.4%; 운전자금:17.5%,[부산] 2025년 스마트공장 기초단계 컨설팅 수요기업 모집 공고 | [부산] 6차 부산특구(암모니아 친환경에너지) 2차년도 안착화지원사업 통합 공고 | 2025년 코로나19 피해 소상공인 분할상환 특례 지원 시행 수정 공고
text_tfidf_svd_kmeans,12,2,82,창업,0.8537,사업화지원,0.7073,컨설팅:62.2%; 사업화:46.3%; 마케팅비:26.8%; 교육훈련:22.0%,[세종] 2기 Invest On 투자 역량강화 프로그램 보육기업 모집 공고 | 넷제로 챌린지X 통합 공고 | 2026년 제주창조경제혁신센터 창업-BuS 프로그램(W-JOIN) 참여기업 모집 공고
text_tfidf_svd_kmeans,12,3,69,금융,0.7391,융자,0.3768,보증지원:50.7%; 이자보전:43.5%; 운전자금:17.4%; 인건비:10.1%,[경북] 2026년 소상공인육성자금(경북버팀금융) 이차보전 지원 계획 공고 | [부산] 사상구 2026년 소상공인 보증료 지원사업 대상자 모집 공고 | [경기] 부천시 2026년 중소기업특례보증 지원 계획 공고
text_tfidf_svd_kmeans,12,4,95,경영,0.7368,시설/입지지원,0.3789,마케팅비:30.5%; 시설개보수:30.5%; 수출:18.9%; 컨설팅:13.7%,의료기기산업 종합지원센터 상시 상담 프로그램 공고 | [경북] 청년하우스 주거 지원 사업 전세대출이자ㆍ월세 지원 모집 공고(금호 이웃사촌마을 조성사업) | 2026년 한국식품산업클러스터진흥원 기업지원시설ㆍ장비 활용 지원사업 공고
text_tfidf_svd_kmeans,12,5,32,경영,0.9375,디자인/상품화/사업화,0.9062,마케팅비:6.2%,2026년 완도군 단체관광객 유치 여행사 인센티브 지원계획 공고 | 2026년 밀양시 단체관광객 유치 인센티브 지원 계획 공고 | 2026년 양산시 단체관광객 유치 인센티브 지원 계획 공고
text_tfidf_svd_kmeans,12,6,78,경영,0.8077,디자인/상품화/사업화,0.6026,디자인·브랜딩:71.8%; 사업화:64.1%; 인증취득:47.4%; 컨설팅:46.2%,[경기] 포천시 2026년 소공인가구지원센터 운영 지원 사업 공고 | [전남] 강진군 밀키트 판매업소 장비 지원사업장 모집 공고 | [전남] 강진군 밀키트 판매업소 포장재 지원사업장 모집 공고
text_tfidf_svd_kmeans,12,7,21,경영,0.9524,디자인/상품화/사업화,0.9524,,[광주] 서구 2026년 소상공인 카드수수료 지원 사업 공고 | [경북] 영주시 2026년 공공배달앱 활성화 지원사업 참여업체 모집 공고(기본배달료 지원) | [경북] 경산시 2026년 소상공인 카드수수료 지원사업 참여점포 모집 공고
text_tfidf_svd_kmeans,12,8,20,경영,1.0,디자인/상품화/사업화,1.0,디자인·브랜딩:100.0%; 인증취득:100.0%; 교육훈련:90.0%; 컨설팅:90.0%,[전남] 2026년 소상공인 IP출원(상표출원) 지원사업 소상공인 수혜자 모집 공고 | [충남] 2026년 소상공인 IP출원(상표) 지원 사업 모집 공고 | [충남] 2026년 소상공인 IP창출 종합패키지(브랜드&디자인 융합) 사업 공고
text_tfidf_svd_kmeans,12,9,95,경영,0.9684,컨설팅,0.7474,컨설팅:92.6%; 교육훈련:26.3%; 인증취득:14.7%; 마케팅비:11.6%,2026년 구조혁신지원사업 참여기업 모집 공고 | 2026년 상반기 무료 직무발명제도 컨설팅 신청 공고 | 2026년 직무발명제도 규정 도입 여부 확인 신청 공고
text_tfidf_svd_kmeans,12,10,89,금융,1.0,융자,0.9551,이자보전:71.9%; 운전자금:65.2%; 시설개보수:43.8%; 보증지원:22.5%,[경남] 창원시 2025년 중소기업육성자금 긴급 융자 지원사업 재공고 | [충북] 2026년 소상공인 육성자금 지원계획 공고 | [경기] 2026년 사회적경제조직 특별융자 사업 공고
text_tfidf_svd_kmeans,12,11,50,내수,0.88,온라인,0.54,온라인판로:74.0%; 마케팅비:72.0%; 교육훈련:22.0%; 컨설팅:20.0%,[전북] 2026년 중소기업 온라인 플랫폼 판매지원 온라인 유통채널 연계 프로모션 참여 기업 상시 모집 공고 | [경기] 김포시 2026년 우수제품 판매전 E-커머스 입점기업 모집 공고 | 2026년 동반성장몰 지원사업 공고
